,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
itat__age__x__thallium_normal,0.08562584667692574,0.030448047314572804,2.812195008510256,0.004920466209806119,0.02594877054079154,0.14530292281305995
itat__age__x__thallium_reversible defect,0.01855726549042523,0.030720411728715948,0.6040695565638791,0.5457973987170037,-0.04165363508809989,0.07876816606895035
itat__age__sq__x__thallium_normal,-0.0207543392878436,0.02570697619999299,-0.80734268886316,0.41946907591448646,-0.07113908679125819,0.029630408215570996
itat__age__sq__x__thallium_reversible defect,0.0003135957054731498,0.025910201414677345,0.01210317513377211,0.9903432991879235,-0.0504694658994732,0.051096657310419506
itscp__sex_male__x__chest_pain_atypical angina,0.029079733672513305,0.03734454453429573,0.7786875977509283,0.43616376364099485,-0.044114228633758454,0.10227369597878506
itscp__sex_male__x__chest_pain_non-anginal pain,0.057710562942499766,0.024972086266258287,2.3110028664476046,0.020832696565271508,0.008766173241806209,0.10665495264319333
itscp__sex_male__x__chest_pain_typical angina,0.19722582585869172,0.06920126225339633,2.850032202252381,0.004371480293002703,0.0615938441573238,0.33285780756005967
itse__sex_male__x__ekg_normal,0.017012387349835144,0.02153567019124527,0.7899632191038596,0.4295492489607232,-0.025196750607938405,0.05922152530760869
itse__sex_male__x__ekg_st-t wave abnormality,-0.24908861335015356,0.2403935370196574,-1.0361701751149206,0.30012275822671197,-0.7202512880248783,0.22207406132457116
itsm__sex_male__x__max_hr,0.01954200321361576,0.012175203516885285,1.6050658361902341,0.10847931678361453,-0.004320957183924803,0.043404963611156325
itse__sex_male__x__exercise_angina_True,-0.06872104774150381,0.025865988038770122,-2.656811239473973,0.007888359771845438,-0.11941745272203708,-0.018024642760970544
itssd__sex_male__x__st_depression,-0.011708630260822408,0.012584371474021338,-0.9304104130264452,0.35215862914713136,-0.03637354511797746,0.012956284596332647
itsst__sex_male__x__slope_st,0.007780852010824036,0.011296560081966438,0.6887806513104112,0.4909613134822498,-0.014359998899023023,0.029921702920671096
itsn__sex_male__x__number_vessels,0.017582398813957435,0.012824384962468493,1.3710130244384913,0.17037089594004107,-0.007552933836357863,0.04271773146427273
itst__sex_male__x__thallium_normal,0.18124334843112205,0.0736183879037735,2.461930417004309,0.013819147414596628,0.03695395953982683,0.3255327373224173
itst__sex_male__x__thallium_reversible defect,-0.13528933679608934,0.0744151751158901,-1.8180342461789167,0.06905889870220537,-0.2811403999264752,0.0105617263342965
